campaign_id,comment_id,comment_description,sentiment
2212,17908351952371091,"لخسارة الوزن الزائد والكرش بمدة قياسية مع عدم الرجوع للوزن مرة اخرى🤚
حياكم بحسابي🥰",Negative
2217,17935944230085744,🔥🔥🔥,Positive
2215S,17899518356507020,This is so good😍 would be great it If you add subtitles to your videos. Love watching your cooks!,Negative
2214,18014766136389857,😍,Positive
2203,17924318627206870,طبق رائع ومميز تبارك الرحمن تسلم ايدك يارب 😍,Positive
2217,18032092822349781,@zainab.aleqabi مفعل هذا التطبيق بالعراق ؟,Positive
2215S,18122714995274518,@muhamyat_alfreej,Positive
2215S,17947316074891383,ابدعتي ام شريف,Positive
2215C,18201796876154595,شكلو و قوامو روعة سلم ايديكي❤️❤️,Positive
2211,17955037840709480,❤️❤️❤️❤️❤️❤️❤️,Positive
2211,17960654977616843,يارب ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Positive
2203,18018928309351608,نوصل لباب البيت حياكم الله مفارش ارخص سعر والدفع عند الاستلام ❤️🌹,Positive
2203,17849182478730285,يعطيكي العافيه ماشاءالله مبدعة تسلم ايدينك,Positive
2215S,17859754826693269,صحة و عافية😍😍,Positive
2207,17843315636767407,من أحلى الماركات 😍 حبيت المسابقة,Positive
2207,17899040324580576,👏👏👏👏👏😍😍🌟🌟👍🏽👍🏽😘😘😘🌠🌠,Positive
2217,17935750676097406,👌🏻👌🏻,Positive
2212,17890040126536838,😍روعه,Positive
2212,17929760924154057,علينا وعليك يتبارك يارب 🤍,Positive
2207,17945113897823972,الجميلة الرائعة@ dose of inspiration and optimism 🌺🥰,Positive
2203,18204145288151986,صحه والف هناااا كتير ظريفه بدي جربا بطريقتك ان شالله 😍,Positive
2215C,17924841569248923,فعلا هذي الطريقة الذ واطعم كثير يسلمو. ايدينك الحلويين وصحتين ❤️❤️,Negative
2202,17997614578441931,احبها… اعملها بس من دون زبدة الفول السوداني، احط بدالها زبدة اللوز او الكاجو 😍,Positive
2203,17921809130478876,يم يمي ع الطعاااااامه و اللذااااااااذه 😍😍😍,Negative
2215C,17928158258234142,بشرتك فيها حبوب، كلف، تصبغات، تبي لونها يكون موحد، مشكله المسامات الواسعه والرؤوس السودا زاعجتك.. حياك بحسابي,Negative
2215S,18195688558086970,ياليت لو كان الفديو بدون موسيقى حبيبتي انتبهي🤍,Positive
2210,17958679258729615,سؤال اخت بشاير هل مسموح لكن الاعلان عن متاجر غير مسجله في معروف ؟؟؟؟,Negative
2215S,17978202016508345,يمي 😍 شكلها لذيذ🔥,Positive
2215C,17859614654723586,روعه الوصفه بسيطه ولذيذه 😋,Positive
2202,17906030180451561,صحتين ع قلبك 🙌👏😍,Positive
2211,17929911608151814,ياتي بها الله,Negative
2212,17908479650341034,تهبلين ماشاء الله تبارك الرحمن 🤍🤍🤍🤍,Positive
2201,17881109315595072,تسلمي يا رب يا ديمة😍❤️❤️❤️❤️❤️,Positive
2600_2,18391859362012137,پیشگویی اینده شما در این صفحه @jakoup_bertonn,Positive
2211,17967366490567732,🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸,Positive
2211,18105795322303512,❤️,Positive
2207,17936495651025981,حلوه المسابقة 😍😍👏👏,Positive
2211,18038504365329559,ماشاء الله الله يحفظهم لك يارب احلى من يعلن,Positive
2203,17938202698976099,"سالمون بصوص الليمون ❎ 
سالمون بالزبده وصوص الليمون ✅ 

Full butter why !",Negative
2211,18265955572076918,ي رب تسخر لي بشاير وسخر لها جنود السماء والارض وتفرحني تكفين بيشو ابي مبلغ اقضي به تكفين طلبك قسم بالله لادعي لك كل يوم في رمضان 😩♥️♥️♥️@bshaeer_h,Negative
2201,17880982988594284,The video is soo ❤️❤️❤️!! Loved it! And recipe always 💯!🤗,Negative
2207,17858109983698443,This is amazing 💚💚💚💚I love this idea 😍😍😍,Positive
2203,18001535065419248,تسلم يدينك … الشكل مشهي تبارك آلرحمن ❤️,Positive
2211,17957388013658524,استغفر الله والحمدالله ولاحول ولاقوة الابالله 😍,Positive
2203,18028617556359262,التشتشه تچتتتل ،بس إييش؟؟ في قلبببكك❤‍🔥😂 جوعتينا عاد 🤤😂,Positive
2211,17957236276644411,كتير حلو الريل كتير تعبانة عليه وانتي ومومو بتجننننووو❤️❤️❤️,Positive
2211,18264093484079287,Yummmm 😋😋 recipe 4 oat man2ouche plzz 😋,Positive
2203,17908628903360865,👏👏🔥😍,Positive
2203,17936146046015591,لا اله الا انت سبحانك اني كنت من الظالمين,Positive
2212,17911561868512402,عافيه,Positive
2203,17854064606733893,افنان الجميله... مالقيت وصفه الكريمه الصفرا,Positive
2207,17980668886496951,Good luck 😍,Positive
2201,17981183890452373,الادوات تحفه 😍 و انتى ملكيش حل بجد ❤️❤️,Positive
2600_2,18033109699620436,@hiba.al.hamdan,Positive
2201,17936787700987589,تسلم الأيادي,Positive
2203,17942953078929534,@monacooks  الجميل ولذيذ والسهل البسيط في تحضير الوصفات ياشيف مني  تسلم ايد حضرتك فعلا😍👍👍👍,Positive
2211,18170813341172732,يجنن التصوير 😍 عمري احلى وحده تساعدك وتحوس بالمطبخ 😂🤍,Positive
2211,17933400620102280,كل شي بتعمليه حلو و مميز 🥺😍🤍🤍🤍,Positive
2201,17946922834723714,"https://www.instagram.com/invites/contact/?i=acif8v08nts3&utm_content=mf9rr68
ده جروبى ادوات منزليه ياريت تشرفوني",Positive
2600_2,18018588376832134,@mexico_community_~𝑬𝒏𝒗í𝒂𝒏𝒐𝒔,Positive
2600_2,18015256414755007,@tea.yurinさん、何の垂直尾翼か分からない💦 兵士？？？,Negative
2600_2,18240298906238352,Ale ładne zdjęcie super🌸,Negative
2600_2,17901174353864975,#virginiawoolf #mrsdalloway #entertaining #vivere #tobealive #celebration We had the great opportunity to visit Virginia Woolf’s home 🏡 and garden #monkshouse & #charlestonhouse #bloomsgroup #artistshomes 🏡🌸🌿🏡🌸🌿#artistsgardens 🌸🌿❣️🌍🇬🇧,Negative
2600_2,17985583802279818,"@lordsmythe1908 no, not yet! I haven’t heard good things about it tbh, but might give it a try 😊",Positive
2201,17925346589182507,Your recipe and @lurpakarabia butter combo 😍 what a match made In heaven !!!! Cant wait to try this recipe with @lurpakarabia 🤤,Negative
2600_2,18023369989765927,@rappsousa_oficial olá ❤️ vou te mandar um direct 🙌,Positive
2600_4,18005771810044833,احلى و ارقى شخصية انثوية مؤثرة ❤️,Positive
2201,17942608459815915,شو هيدا ، صرر الجمال هول 😍 لذاذة🔥,Negative
2600_1,17858229445599674,Osome we shld be educated enuf to plan savings fr kids future,Negative
2600_1,18035168230429561,@the_coeliac_princess as we are you xx,Positive
2201,17954993185671051,ممكن اعرف رأيك بهاذي القدور كاستخدام عمليه مع العاملات او لا ؟؟,Positive
2600_1,18064031242066541,I love to see motivated people!,Positive
2600_1,17910223558672799,@whatmymommakes thanks,Positive
2600_1,17987823706999958,@gluten_free_with_nevaeh enjoy xx,Positive
2600_1,17996790358871385,@gluten.free.tee omg I didn't know this. Will 10000% be going back xxx,Negative
2600_1,18036303379464838,Hickorys 🔥👏,Negative
2600_1,17979921068123849,LOVE a Nando’s! 😍😍 I need to try the ice cream next! 🙌,Positive
2600_1,17992204744770754,"@coeliacandmia we loveeee a nandos too, the ice cream is soooo nice also, you must try it xxx",Positive
2600_1,18209701741218471,This looks so scrumptious 😍,Positive
2600_1,18224760181175852,😍😍😍,Positive
2600_1,17997376720802249,Good choice! I had this one today and it was lovely 😋,Positive
2600_1,18007053394774602,@gluten_free_with_nevaeh yeah probably about then x,Negative
2600_1,18026758912530715,@chloellisxo it looked nice this one. Did you leave about 4ish xx,Negative
2600_1,17845494699020123,@chloellisxo bet she can't 😂 it's actually so nice xxx,Negative
2600_1,17963927837385616,That looks such a fun cake ☺️👍,Positive
2600_1,18005902762828934,Looks great!,Positive
2600_1,18008979883769820,Stunning ❤️,Positive
2201,18186074914160156,ما شاءلله  عليك يابو العز الله  يسامحك,Positive
2201,17966490118523814,بجربها ان شاء الله بعد اختباري,Positive
2201,17936991034974881,Please mahshi recipe,Negative
2201,17958371668628662,يا ابو العز ايش نوع مفروم الدجاج,Positive
2201,18009478186382684,حسابي مايكرو حواجب وتاتو جسم 😍,Positive
2201,17903605376406046,أبدعت..,Positive
2201,17929097834116862,الله عليك يبو العز,Positive
2201,17963011234597568,جوعتيني 😢,Positive
2201,17921541164161392,تسلم الايااااااادي دمدوم 👏كل شي بتعمليه بحب 😍يسعدك ربنااااا,Positive
2201,17934694886070833,فنانة ماشاء الله 😍,Positive
2201,17946127435745960,تحدي باستخدام الملعقة.. اعلان غريب ! وين الملعقة,Positive
2201,17917400126493803,Looks so good !,Positive
2201,17941520263919530,adipoli aato,Positive
2201,18227128057129949,😍👌🏼👌🏼,Positive
2201,17976029053516587,وانت قد التحدي ماشاءالله يعطيك الف عااافيه..😍👏,Positive
2201,17928488642176035,ياليت تحددين انها مش زبده هذه مركبات الزبدة للاسف مش صحيه,Negative
2201,17926178552084273,تسلم دياتك بشهههو كل شي الك مميز ❤️❤️❤️❤️,Positive
2600_1,17919262168598917,"@laurajaynebeckett thank you hun, yes feels like that x",Negative
2600_1,17929107115519952,Take a break and come back fresh mama ❤️❤️,Positive
